Index,Question,Topic,Sub-Topic
1,What is the capital of India?,Geography,Capital Cities
2,What is a neural network?,Computer Science,Neural Networks
3,What is 2x + 4 = 6?,Mathematics,Algebra
4,What is the area of a circle?,Mathematics,Geometry
5,What is supervised learning?,Computer Science,Machine Learning
6,What is the capital of France?
7,How does a neural network work?
8,What is the Pythagorean theorem?
9,What is the capital of Germany?
10,How do you train a deep learning model?
11,What is the quadratic formula?
12,What is the capital of Spain?
13,What is backpropagation in neural networks?
14,What is the formula for the area of a circle?
15,What is a convolutional neural network?
16,What is the formula for the volume of a sphere?
17,How do you optimize a machine learning model?
18,What is the derivative of a function?
19,What is a decision tree in machine learning?
20,What is a matrix in mathematics?
21,What is the capital of Italy?
22,What is gradient descent?
23,What is the difference between supervised and unsupervised learning?
24,What is a neural networkâ€™s activation function?
25,What is the capital of Canada?
26,What is the difference between regression and classification?
27,What is the value of x in 2x + 3 = 5?
28,What is the integral of sin(x)?
29,What is the derivative of cos(x)?
30,What is the quadratic equation?
31,What is the area of a triangle?
32,What is the formula for the volume of a cone?
33,What is the Pythagorean theorem used for?
34,What is the difference between differentiation and integration?
35,What is the derivative of x^2?
36,What is the formula for the surface area of a sphere?
37,What is the integral of cos(x)?
38,What is the capital of Japan?
39,What is the area of a square?
40,What is a decision tree in machine learning?
41,What are the applications of deep learning?
42,What are the fundamental components of a neural network?
43,What is the chain rule in calculus?
44,How does machine learning differ from deep learning?,Computer Science,Machine Learning
45,In what areas is deep learning applied?
46,What are some real-world uses of deep learning?